video_code,author,source_URL,license,length_s,language_free,anxiety,compassion,contempt,despair,disgust,fascination,fear,guilt,indifference,irritation,joy,no_emotion,pride,rage,sadness,satisfaction,shame,surprise,entropy,modal_emotion,valence,arousal,valence_wsd,arousal_wsd
VID_716,richmond9517,https://www.youtube.com/watch?v=1sIzTvKH18E,CC-BY 3.0,58,FALSE,0,0,0,0,0,39,0,0,66,13,592,13,0,0,0,105,0,171,669,joy,1329,-49,0.34,346
VID_717,MadForMagic,https://www.youtube.com/watch?v=jUTnTVnyXhs,CC-BY 3.0,21,TRUE,0,0,0,0,0,292,0,0,236,0,69,56,0,0,0,0,0,347,694,surprise,619,-475,449,314
VID_718,PLOS Media,https://www.youtube.com/watch?v=ZerUbHmuY04,CC-BY 3.0,25,TRUE,0,0,0,0,0,521,0,0,0.07,0,169,56,14,0,0,99,0,0.07,623,fascination,1005,-573,447,314
VID_719,avi,https://www.youtube.com/watch?v=YvGwGsAISnQ,CC-BY 3.0,30,TRUE,56,0,0,0,0,514,28,0,97,0,56,125,0,0,0,69,0,56,562,fascination,604,-256,463,407
VID_721,meladieDE,https://www.youtube.com/watch?v=oJdFSttJUv4,CC-BY 3.0,21,TRUE,174,0,14,0,29,188,29,0,72,0,0.29,0,0,0,14,58,0,0.13,457,joy,0.46,1,637,478
VID_722,Darcy Oake,https://www.youtube.com/watch?v=i2sUHsNTdDw,CC-BY 3.0,26,FALSE,14,0,0,0,0,57,0,0,143,71,243,0,0,0,0,14,0,457,636,surprise,671,-105,456,405
VID_723,THE MOODY GUY,https://www.youtube.com/watch?v=0yKtK4MdeGw,CC-BY 3.0,16,TRUE,0,0,0,0,15,0.06,0,0,209,15,388,45,0,0,0,0,0,269,634,joy,794,-0.44,475,322
VID_801,Animal Equality,https://www.youtube.com/watch?v=pQK4261GXyg,CC-BY 3.0,41,TRUE,33,0,0,33,417,0,17,33,0,33,0,0,0,0.3,117,0,0,17,561,disgust,-1562,1456,212,341
VID_802,VINnews,https://www.youtube.com/watch?v=h1-8tME1IsM,CC-BY 3.0,17,TRUE,82,16,49,16,246,16,131,0,0,0,0,0,0,262,0,0,0,0.18,507,rage,-1439,1462,245,0.43
VID_803,Ademo Freeman,https://www.youtube.com/watch?v=O_PLtuMECe8,CC-BY 3.0,39,FALSE,309,0,36,0,55,55,73,0,18,0,0,0,0,145,55,0,18,236,453,anxiety,-1206,1301,479,486
VID_804,Association L214,https://www.youtube.com/watch?v=CDzo7PyH9i0,CC-BY 3.0,36,TRUE,38,38,38,19,321,19,0,19,0,0,0,38,0,0.17,245,0,0,57,438,disgust,-1328,1129,428,444
VID_805,DO YOU KNOW ME,https://www.youtube.com/watch?v=CamVley7k3E,CC-BY 3.0,56,TRUE,58,19,38,0,115,0,19,0,0,0,0,0,0,269,462,0,19,0,604,sadness,-1516,1244,224,495
VID_806,DO YOU KNOW ME,https://www.youtube.com/watch?v=6lfUGhHMj2o,CC-BY 3.0,37,FALSE,0,0,0.14,0,123,18,0,0,35,35,0,0,0,368,193,18,35,35,475,rage,-1358,1087,386,497
VID_807,Sebastian Sdaigui,https://vimeo.com/168071600,CC-BY 3.0,52,FALSE,229,21,42,0,229,0,42,0,62,83,0,0,0,208,62,0,0,21,438,anxiety,-1.06,894,381,517
VID_808,zeynakca,https://www.youtube.com/watch?v=F04UqJYIhxg,CC-BY 3.0,65,FALSE,17,0.19,121,0,52,17,0,0,52,52,0,17,0,172,259,17,34,0,373,sadness,-833,459,337,452
