Video_ID,Action_description,POV,Gender,V_M_Tot,V_SD_Tot,A_M_Tot,A_SD_Tot,V_M_Fem,V_SD_Fem,V_M_Mal,V_SD_Mal,A_M_Fem,A_SD_Fem,A_M_Mal,A_SD_Mal
1_F_035,Setting the table,1,F,5.568965517241379,1.5115005784947877,3.0714285714285716,2.238970078627004,5.65625,1.4504587705830492,5.461538461538462,1.605758866848176,3.1785714285714284,2.2286613060156126,2.9642857142857144,2.2849287671390264
1_M_035,Setting the table,1,M,5.45,1.4491376746189446,2.7142857142857144,2.097837376677748,5.0476190476190474,1.2440333788202984,5.894736842105263,1.5597270716416047,2.75,2.2288431832418967,2.6774193548387095,1.9897587253097389
3_F_035,Setting the table,3,F,5.245901639344262,1.7668780160207063,2.6037735849056602,2.2043630044624387,5.290322580645161,1.810958280158082,5.2,1.7498768429570237,2.6153846153846154,2.0799408275606894,2.5925925925925926,2.3576268912626013
3_M_035,Setting the table,3,M,4.826923076923077,1.7458202616889513,2.4098360655737703,2.01144267612683,4.576923076923077,1.8148956316676044,5.076923076923077,1.6714802283742851,2.5161290322580645,2.234143650140332,2.3,1.7840287611722114
1_F_036,Hanging a jacket,1,F,5.525,1.280775005761985,1.9047619047619047,1.5420376727991432,5.142857142857143,0.5732115042211101,5.947368421052632,1.6823820483841192,1.90625,1.6725367058029144,1.903225806451613,1.4225526049951525
1_M_036,Hanging a jacket,1,M,4.983606557377049,1.3600466080088152,1.7924528301886793,1.6682382527458504,4.709677419354839,1.3950758255879085,5.266666666666667,1.284746944983205,1.5,0.9486832980505138,2.074074074074074,2.1290287768753933
3_F_036,Hanging a jacket,3,F,4.730769230769231,1.6933015044335857,1.9836065573770492,1.697957628826355,4.576923076923077,1.8368032430955017,4.884615384615385,1.5576115838532556,2.193548387096774,1.7401025800932863,1.7666666666666666,1.6543220995910688
3_M_036,Hanging a jacket,3,M,5.293103448275862,1.2842995317901194,2.4107142857142856,1.9888487827181536,5.28125,1.084624953761705,5.3076923076923075,1.5170822197687448,2.25,1.7769095101910528,2.5714285714285716,2.2014905965188327
1_F_037,Erasing something with an eraser,1,F,4.625,1.4444855352472248,2.9365079365079363,2.2206727829211945,4.571428571428571,1.3989792196965822,4.684210526315789,1.529438225803745,3.3125,2.507247559093566,2.5483870967741935,1.8409908505551997
1_M_037,Erasing something with an eraser,1,M,5.114754098360656,1.438730466484691,2.811320754716981,2.337459203869292,5.354838709677419,1.3795745019576193,4.866666666666666,1.4793599112881346,2.9615384615384617,2.4079994888831555,2.6666666666666665,2.3038429433649132
3_F_037,Erasing something with an eraser,3,F,4.326923076923077,1.5807810658913346,2.081967213114754,1.636002057529402,4.423076923076923,1.4470128381759972,4.230769230769231,1.7276039432159749,2.4516129032258065,1.8768539221690352,1.7,1.2635472781569872
3_M_037,Erasing something with an eraser,3,M,5.172413793103448,1.0619071065607897,2.6785714285714284,1.6635902342621718,5.15625,1.1943246168117698,5.1923076923076925,0.895286804068094,3.1785714285714284,1.7858201026848808,2.1785714285714284,1.3892063129334606
1_F_038,Making a call on the phone,1,F,5,1.224744871391589,2.2452830188679247,1.6630100186727967,5.064516129032258,1.364685162005453,4.933333333333334,1.0806553992619587,2.423076923076923,1.9010118763032897,2.074074074074074,1.4121975762272057
1_M_038,Making a call on the phone,1,M,4.6923076923076925,1.2608503439122305,1.5737704918032787,1.1613069705213264,4.615384615384615,1.29851986744672,4.769230769230769,1.2428255648381978,1.6451612903225807,1.3303730578744744,1.5,0.9737945687202026
3_F_038,Making a call on the phone,3,F,4.810344827586207,1.561116295967146,2.6785714285714284,2.166749915150614,4.71875,1.6310371724962358,4.923076923076923,1.494605685070866,3.1785714285714284,2.480346024674058,2.1785714285714284,1.7008401285415224
3_M_038,Making a call on the phone,3,M,4.675,1.2065526224617102,2.4603174603174605,2.1085493930080785,4.523809523809524,0.8135752957807667,4.842105263157895,1.5370663939515448,2.71875,2.275172804496964,2.193548387096774,1.9221403840286948
1_F_039,Closing the bag,1,F,5.362068965517241,1.0208059399759284,2.5714285714285716,2.0347628216231346,5.125,0.9755064854862865,5.653846153846154,1.017538508059825,2.5357142857142856,1.9716911871705816,2.607142857142857,2.131584104287418
1_M_039,Closing the bag,1,M,5.325,1.5256356388614238,2.3174603174603177,1.9077549449160158,4.761904761904762,1.4800257398019097,5.947368421052632,1.3529262199858292,2.375,1.896516330946925,2.2580645161290325,1.948807189633082
3_F_039,Closing the bag,3,F,4.688524590163935,1.4205748086198222,2,1.6290629680421054,4.67741935483871,1.5359491479037435,4.7,1.3169976304537105,1.9615384615384615,1.5357283413616936,2.037037037037037,1.7427096823731247
3_M_039,Closing the bag,3,M,4.826923076923077,1.723211250420174,1.7868852459016393,1.5068151191432506,4.615384615384615,1.9199358963657738,5.038461538461538,1.5094573655660295,2.2903225806451615,1.9182205015255984,1.2666666666666666,0.5832922809856746
